id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos,cost-basis-in-pennies,quantity,date-entered
3724,Chameleon Twist,Nintendo 64,2925,Item only,Normal wear,,,,0,1,2021-11-21
3926,Superman,Nintendo 64,1599,Item only,Normal wear,,,,0,1,2021-11-21
3143,Zelda Oracle of Seasons,GameBoy Color,4800,Item only,Normal wear,,,,0,1,2021-11-21
2386901,Analogue NT Mini,NES,76642,"Item, Box, and Manual",Normal wear,,,,0,1,2022-03-18
15805,Fallout 3,Playstation 3,796,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
37970,Gyromite [5 Screw],NES,599,Item only,Normal wear,,,,1000,1,2022-12-15
34065,The Last of Us,Playstation 3,1600,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
10101,Valkyrie Profile Lenneth,PSP,3588,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
13429,Lazlo's Leap,GameBoy,3199,Item only,Normal wear,,,,0,1,2021-11-21
13192,Game Genie,NES,2105,Item only,Normal wear,,,,0,1,2022-03-22
31918,Radiant Historia,Nintendo DS,2645,Item only,Normal wear,,,,1000,1,2022-11-23
12427,Sky Shark,NES,736,Item only,Normal wear,,,,700,1,2022-10-16
49706,Cool Boarders 3 [Greatest Hits],Playstation,711,"Item, Box, and Manual",Normal wear,,,,500,1,2023-01-01
34323,Pokemon Y,Nintendo 3DS,3282,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
2386903,Analogue Super NT,Super Nintendo,32313,Item only,Normal wear,,,,0,1,2022-03-18
9544,PGA Tour Golf 3,Sega Genesis,660,Item only,Normal wear,,,,0,1,2021-11-21
2451,Platinum Gameboy Advance SP,GameBoy Advance,7522,Item only,Normal wear,,,,0,1,2022-03-22
6936,F-Zero,Super Nintendo,1376,Item only,Normal wear,,,,0,1,2021-11-21
43649,Chrono Trigger,Super Famicom,2160,Item only,Normal wear,,,,0,1,2022-12-05
37433,Mario Kart 8 Deluxe,Nintendo Switch,4000,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
16736,Toki,Atari Lynx,2099,"Item, Box, and Manual",Normal wear,,,,3200,1,2022-11-13
12452,Super Mario Bros Duck Hunt World Class Track Meet,NES,625,Item only,Normal wear,,,,1200,1,2022-10-09
38641,Ecco the Dolphin & Sega Classics,Sega CD,3103,Item and Box only,Normal wear,,Missing sega classics disc,,0,1,2022-12-22
35693,Mario Party 10,Wii U,2513,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
63061,Chrono Trigger,JP Playstation,25949,"New Item, Box, and Manual",Normal wear,,The plastic wrapping is torn in a corner,,0,1,2021-11-21
8663,Bugs Bunny Double Trouble,Sega Genesis,1739,Item and Box only,Normal wear,,,,0,1,2021-11-21
31169,Neo Turf Masters,Neo Geo Pocket Color,3896,Item only,Normal wear,,,,0,1,2021-11-21
68941,Pokemon Mystery Dungeon: Rescue Team DX,Nintendo Switch,3066,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
12357,Pipe Dream,NES,962,Item only,Normal wear,,,,900,1,2022-10-16
47057,Crash Bandicoot N. Sane Trilogy,Nintendo Switch,1929,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
2184431,The Last Blade,JP Neo Geo Pocket Color,9344,Item only,Normal wear,,,,0,1,2021-11-21
70034,World of Warcraft,PC Games,813,Item only,Normal wear,,,,0,1,2022-03-22
3858,Nintendo 64 System,Nintendo 64,5999,Item only,Normal wear,,,,0,1,2022-03-22
3740,Diddy Kong Racing,Nintendo 64,2799,Item only,Normal wear,,,,0,1,2021-11-21
10562,Super Mario Galaxy,Wii,1238,"Item, Box, and Manual",Normal wear,,,,1500,1,2022-10-07
12168,10-Yard Fight,NES,325,Item only,Normal wear,,,,500,1,2022-12-15
13171,Sega Saturn Console,Sega Saturn,15010,Item only,Normal wear,,,,0,1,2022-03-22
15582,Warlords,Atari 2600,503,Item only,Normal wear,,,,0,1,2021-11-21
9081,Gunstar Heroes,Sega Genesis,5499,Item only,Normal wear,,,,5099,1,2022-08-24
8565,Bases Loaded 2 Second Season,NES,413,Item only,Normal wear,,,,0,1,2022-08-12
69662,Elder Scrolls III: Bloodmoon,PC Games,3256,Item only,Normal wear,,,,0,1,2022-03-22
16701,Kung Food,Atari Lynx,1499,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3119,Wario Land Super Mario Land 3,GameBoy,2613,Item only,Normal wear,,,,1500,1,2022-11-13
155249,Super Mario 3D World + Bowser's Fury,Nintendo Switch,3996,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
7081,Secret of Mana,Super Nintendo,15909,"Item, Box, and Manual",Normal wear,,,,1500,1,2021-11-21
35553,Zelda Majora's Mask 3D,Nintendo 3DS,2200,Item only,Normal wear,,,,1000,1,2022-11-23
34613,Zelda A Link Between Worlds,Nintendo 3DS,1923,Item only,Normal wear,,,,1000,1,2022-11-23
9964,Tetris,NES,993,Item only,Normal wear,,,,1200,1,2022-01-11
32468,Jak & Daxter Collection,Playstation 3,2134,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3764,F-Zero X,Nintendo 64,3500,Item only,Normal wear,,,,3600,1,2022-11-30
